,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2000,442422.7,203698.9,98012.67,24155.87,12764.41,1418.165,1125.189,361.8269,687.743,79.15439,44.92888,102.8188,264.4675,290.864,57.79491,64.98119,47.85607,12.57167,1.390335,1.086836
2001,323071.2,192878.1,113527.8,41232.32,7210.752,4301.86,570.267,534.167,196.9791,413.8259,50.83988,29.99207,70.26748,183.253,201.7451,40.16717,45.20679,33.29301,8.754738,1.725826
2002,268672.3,139890.5,108502.2,52483.5,14475.66,2784.804,1884.37,279.5634,286.6214,112.8007,247.0703,31.07583,18.60165,43.96058,114.761,126.5946,25.23003,28.39554,20.93311,6.590782
2003,346826.7,119879.9,79981.27,51091.87,19203.85,5855.292,1281.653,972.9934,158.2976,173.4384,71.22658,159.8139,20.40279,12.32157,29.14826,76.24519,84.19134,16.77915,18.90326,18.32738
2004,128496.8,157157.2,70545.96,43920.91,24158.44,9770.933,3262.724,774.3417,627.7928,107.1676,121.1088,50.68816,115.0885,14.7977,8.945513,21.20413,55.52064,61.30691,12.23056,27.1513
2005,52335.33,44171.02,75583.63,32498.54,17099.32,10478.7,4793.077,1782.376,460.9427,397.5164,70.59308,81.57002,34.61443,79.24207,10.19888,6.177776,14.65823,38.38095,42.42335,27.27038
2006,942722.7,17675.51,20668.05,33074.19,11872.71,7064.273,4988.529,2586.165,1063.462,295.7465,267.2669,48.75625,57.27838,24.54594,56.24875,7.254014,4.398375,10.43618,27.35332,49.68875
2007,653292,480629,11072.55,9313.462,10569.96,4257.338,3007.059,2494.877,1476.184,668.2686,197.8043,185.2946,34.55155,41.11807,17.63827,40.50026,5.228266,3.170089,7.529311,55.6188
2008,736262,296637.4,279219.6,4790.362,2891.216,3680.073,1723.69,1391.968,1283.413,818.2487,388.3718,117.7637,111.9752,21.06596,25.09463,10.7863,24.79184,3.200432,1.942481,38.72827
2009,113505.8,293109.4,154417.1,105264,1189.534,814.8165,1250.934,698.4756,651.7617,667.7267,455.9559,225.2629,69.99087,67.51063,12.71352,15.17519,6.529203,15.00708,1.939235,24.66708
2010,144246,39531.2,140622.8,62972.46,32067.8,406.094,320.8965,559.2588,345.6205,346.9056,372.4224,261.0215,131.0455,41.10682,39.68982,7.489305,8.94837,3.850083,8.858098,15.71924
2011,212057.8,67195.23,22097.89,82129.11,38025.57,20312.02,272.1136,227.2522,415.9178,267.1807,275.4411,296.8865,208.7054,104.9901,32.96662,31.89394,6.024276,7.197924,3.100043,19.80205
2012,227478.2,110507.8,42568.28,14377.67,54636.6,26140.65,14417.02,198.4452,169.5516,315.9258,205.3634,212.5611,229.7991,161.8677,81.50966,25.64506,24.83544,4.691034,5.610548,17.86688
2013,506389.7,109611.9,63600.28,24445.77,7846.642,29933.32,14962.06,8653.83,124.2616,109.7791,209.3046,136.601,141.8134,153.621,108.317,54.65302,17.21247,16.66906,3.151681,15.78537
2014,859612.8,262504.6,69293.6,41055.27,15434.28,5009.302,19686.57,10124.12,6000.341,87.833,78.59429,150.4483,98.48387,102.4466,111.0874,78.48372,39.63978,12.48419,12.10215,13.76023
2015,431843.4,430157.8,156093,38689.7,19625.04,7061.937,2362.356,9652.137,5139.328,3130.79,46.69374,41.9497,80.54304,52.82925,55.00992,59.76914,42.2694,21.34901,6.730403,13.9502
,,,,,,,,,,,,,,,,,,,,
SCALED,,,,,,,,,,,,,,,,,,,,
1950,0.284783096,0.157019152,0.107911305,0.079975031,0.062187365,0.049777767,0.040608789,0.033528663,0.027933218,0.023435053,0.019740035,0.016694261,0.01416085,0.012035941,0.010240117,0.008729684,0.007449489,0.006357031,0.00543021,0.032002942
1951,0.284960832,0.157114734,0.107927283,0.079926461,0.062146984,0.049745395,0.040582381,0.033506858,0.027915061,0.02341981,0.019727204,0.016683407,0.014151644,0.012028118,0.010233462,0.008724012,0.007444646,0.006352899,0.005426679,0.03198213
1952,0.286669982,0.158039308,0.108120059,0.079500578,0.061746433,0.049422328,0.040318782,0.033289215,0.027733735,0.023267692,0.019599066,0.01657504,0.014059723,0.011949984,0.01016699,0.008667344,0.007396289,0.006311634,0.00539143,0.031774391
1953,0.286759726,0.158105392,0.108519719,0.079911369,0.061643562,0.049284925,0.040204697,0.033194989,0.027655233,0.02320183,0.019543586,0.016528125,0.014019921,0.011916162,0.010138212,0.008642808,0.007375353,0.006293768,0.005376169,0.031684453
1954,0.28700999,0.158240114,0.108579279,0.080163501,0.06192642,0.049174436,0.040069795,0.033081968,0.027561048,0.023122809,0.019477028,0.016471832,0.013972176,0.011875578,0.010103681,0.008613375,0.007350234,0.006272333,0.005357859,0.031576543
1955,0.289606692,0.159643307,0.108863705,0.079537711,0.061568563,0.04895954,0.039623421,0.032676928,0.027222256,0.022838552,0.01923759,0.016269333,0.013800411,0.011729584,0.009979474,0.008507484,0.007259877,0.006195225,0.005291993,0.031188356
1956,0.2967081,0.163054099,0.107048019,0.076385699,0.058923141,0.047411375,0.038836792,0.032137678,0.026976266,0.022781383,0.019278915,0.016304291,0.01383006,0.011754782,0.010000913,0.00852576,0.007275469,0.006208534,0.005303361,0.031255361
1957,0.303237526,0.166570737,0.108379754,0.074194125,0.055947057,0.044920497,0.0372874,0.031274635,0.026373096,0.022461568,0.019145862,0.01626727,0.013798655,0.011728094,0.009978208,0.008506406,0.007258953,0.006194438,0.005291321,0.031184399
1958,0.31497519,0.172863417,0.110108474,0.072701044,0.05258037,0.041330828,0.034291488,0.029192295,0.024985354,0.021400092,0.018409724,0.015755038,0.013426472,0.01141176,0.009709071,0.008276969,0.007063166,0.00602736,0.005148602,0.030343287
1959,0.322444117,0.176920513,0.112704208,0.073486002,0.051350073,0.038774269,0.031548121,0.026887781,0.023389546,0.020354302,0.01762218,0.015220482,0.013064819,0.011156161,0.009491608,0.008091575,0.00690496,0.005892357,0.005033282,0.029663644
1960,0.330657924,0.18132337,0.114405402,0.073957907,0.051070898,0.037312971,0.029210233,0.024451174,0.021322114,0.018877518,0.016617091,0.014444266,0.012513167,0.010762442,0.009199333,0.00784242,0.006692338,0.005710915,0.004878294,0.028750224
1961,0.339119057,0.18586263,0.116173452,0.073832579,0.050591238,0.036582956,0.0277567,0.022391254,0.01920377,0.01706154,0.015290684,0.013513701,0.011781971,0.010227235,0.008805137,0.007541368,0.006435436,0.005491688,0.004691029,0.027646576
1962,0.350330955,0.191831302,0.117756925,0.072778106,0.049065475,0.035284202,0.026561189,0.020815679,0.017238852,0.015086077,0.013582052,0.012221127,0.01083332,0.009463973,0.008223337,0.007094057,0.006081953,0.005190043,0.004433361,0.026128013
